,0
639,10846
640,10840
641,10840
642,10853
643,10839
644,10841
645,10828
646,10813
647,10827
648,10814
649,10811
650,10812
651,10796
652,10808
653,10808
654,10798
655,10788
656,10799
657,10803
658,10794
659,10785
660,10788
661,10788
662,10785
663,10787
664,10765
665,10772
666,10783
667,10775
668,10769
669,10768
670,10757
671,10767
672,10752
673,10770
674,10765
675,10763
676,10755
677,10758
678,10772
679,10765
680,10750
681,10751
682,10763
683,10754
684,10754
685,10753
686,10754
687,10753
688,10755
689,10766
690,10734
691,10739
692,10732
693,10739
694,10740
695,10732
696,10744
697,10740
698,10753
699,10746
700,10748
701,10744
702,10749
703,10752
704,10738
705,10762
706,10754
707,10744
708,10755
709,10759
710,10754
711,10761
712,10757
713,10761
714,10746
715,10754
716,10756
717,10768
718,10767
719,10757
720,10762
721,10764
722,10773
723,10775
724,10770
725,10784
726,10764
727,10780
728,10777
729,10776
730,10774
731,10777
732,10778
733,10779
734,10776
735,10774
736,10786
737,10778
738,10777
739,10789
740,10780
741,10788
742,10773
743,10799
744,10791
745,10798
746,10809
747,10787
748,10778
749,10798
750,10806
751,10791
752,10782
753,10822
754,10791
755,10797
756,10799
757,10796
758,10792
759,10799
760,10779
761,10811
762,10787
763,10809
764,10812
765,10800
766,10806
767,10803
768,10797
769,10806
770,10810
771,10807
772,10823
773,10812
774,10815
775,10822
776,10829
777,10829
778,10813
779,10828
780,10809
781,10826
782,10812
783,10823
784,10805
785,10827
786,10815
787,10822
788,10825
789,10820
790,10838
791,10834
792,10831
793,10843
794,10838
795,10845
796,10829
797,10832
798,10840
799,10838
800,10842
801,10852
802,10850
803,10856
804,10837
805,10848
806,10870
807,10846
808,10874
809,10846
810,10883
811,10844
812,10868
813,10867
814,10859
815,10875
816,10883
817,10876
818,10883
819,10872
820,10877
821,10886
822,10880
823,10878
824,10901
825,10884
826,10906
827,10891
828,10889
829,10914
830,10895
831,10896
832,10897
833,10916
834,10901
835,10899
836,10902
837,10924
838,10911
839,10907
840,10902
841,10939
842,10924
843,10932
844,10912
845,10938
846,10928
847,10937
848,10945
849,10940
850,10915
851,10936
852,10916
853,10934
854,10925
855,10944
856,10936
857,10945
858,10953
859,10944
860,10943
861,10946
862,10953
863,10939
864,10957
865,10959
866,10959
867,10969
868,10964
869,10969
870,10956
871,10973
872,10966
873,10951
874,10970
875,10955
876,10957
877,10993
878,10974
879,10967
880,10980
881,10978
882,10978
883,10967
884,10984
885,10981
886,10978
887,10984
888,10973
889,10982
890,10988
891,10991
892,10979
893,10993
894,10984
895,10978
896,10989
897,10983
898,11004
899,11002
900,11001
901,10999
902,11007
903,11001
904,11010
905,11009
906,11009
907,11000
908,11003
909,11015
910,11016
911,11021
912,11017
913,11015
914,11007
915,11010
916,11016
917,10999
918,11022
919,11015
920,11003
921,11017
922,11030
923,11018
924,11036
925,11015
926,11034
927,11026
928,11044
929,11044
930,11039
931,11028
932,11032
933,11039
934,11030
935,11048
936,11041
937,11046
938,11049
939,11055
940,11054
941,11062
942,11041
943,11056
944,11045
945,11057
946,11050
947,11057
948,11059
949,11047
950,11062
