Auto Gain Control OFF,IR PA (mA)=10,Red PA (mA)=10,Sample Rate (Hz)=1600,Pulse Width (usec)=400,FIFO Almost Full=17,FIFO Rolls on Full=Checked,Sample Averaging=2
IR Count, Red Count, Green Count, X Axis Acceleration, Y Axis Acceleration, Z Axis Acceleration, Heart Rate, HR Confidence, SPO2, Algorithm Status
262143,212694,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212668,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212667,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212635,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212629,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212623,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212611,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212602,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212581,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212581,--,0.000,0.000,0.000,0.0,0,0.0,1
131071,106289,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212547,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212541,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212529,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212516,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212499,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212498,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212484,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212479,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212468,--,0.000,0.000,0.000,0.0,0,0.0,1
262143,212462,--,0.000,0.000,0.000,0.0,0,0.0,1
210412,212453,--,0.000,0.000,0.000,0.0,0,0.0,1
191904,212456,--,0.000,0.000,0.000,0.0,0,0.0,1
191918,212443,--,0.000,0.000,0.000,0.0,0,0.0,1
191936,212445,--,0.000,0.000,0.000,0.0,0,0.0,1
191939,212446,--,0.000,0.000,0.000,0.0,0,0.0,1
191959,212446,--,0.000,0.000,0.000,0.0,0,0.0,1
191959,212440,--,0.000,0.000,0.000,0.0,0,0.0,1
191970,212445,--,0.000,0.000,0.000,0.0,0,0.0,1
191966,212438,--,0.000,0.000,0.000,0.0,0,0.0,1
191982,212439,--,0.000,0.000,0.000,0.0,0,0.0,1
191981,212439,--,0.000,0.000,0.000,0.0,0,0.0,1
191989,212435,--,0.000,0.000,0.000,0.0,0,0.0,1
191988,212438,--,0.000,0.000,0.000,0.0,0,0.0,1
191990,212432,--,0.000,0.000,0.000,0.0,0,0.0,1
105222,212408,--,0.000,0.000,0.000,0.0,0,0.0,1
105239,212422,--,0.000,0.000,0.000,0.0,0,0.0,1
105244,212417,--,0.000,0.000,0.000,0.0,0,0.0,1
105248,212420,--,0.000,0.000,0.000,0.0,0,0.0,1
105250,212422,--,0.000,0.000,0.000,0.0,0,0.0,1
105252,212429,--,0.000,0.000,0.000,0.0,0,0.0,1
105249,212429,--,0.000,0.000,0.000,0.0,0,0.0,1
105257,212431,--,0.000,0.000,0.000,0.0,0,0.0,1
105256,212440,--,0.000,0.000,0.000,0.0,0,0.0,1
105252,212433,--,0.000,0.000,0.000,0.0,0,0.0,1
105200,212404,--,0.000,0.000,0.000,0.0,0,0.0,1
105189,212388,--,0.000,0.000,0.000,0.0,0,0.0,1
105181,212377,--,0.000,0.000,0.000,0.0,0,0.0,1
105175,212358,--,0.000,0.000,0.000,0.0,0,0.0,1
105167,212359,--,0.000,0.000,0.000,0.0,0,0.0,1
105151,212344,--,0.000,0.000,0.000,0.0,0,0.0,1
105148,212348,--,0.000,0.000,0.000,0.0,0,0.0,1
105143,212336,--,0.000,0.000,0.000,0.0,0,0.0,1
105140,212325,--,0.000,0.000,0.000,0.0,0,0.0,1
105121,212318,--,0.000,0.000,0.000,0.0,0,0.0,1
