IR Count, Red Count, Green Count, X Axis Acceleration, Y Axis Acceleration, Z Axis Acceleration, Heart Rate, HR Confidence, SPO2, Algorithm Status
106718,90341,--,0.603,0.542,-0.561,0.0,0,0.0,1
123105,106737,--,0.604,0.543,-0.558,0.0,0,0.0,1
139495,123115,--,0.606,0.544,-0.556,0.0,0,0.0,1
155895,139494,--,0.607,0.543,-0.557,0.0,0,0.0,1
172235,155896,--,0.607,0.543,-0.557,0.0,0,0.0,1
188647,172242,--,0.607,0.543,-0.557,0.0,0,0.0,1
205036,188689,--,0.607,0.543,-0.557,0.0,0,0.0,1
221453,205027,--,0.606,0.543,-0.561,0.0,0,0.0,1
237776,221378,--,0.606,0.543,-0.561,0.0,0,0.0,1
254145,221241,--,0.606,0.543,-0.561,0.0,0,0.0,1
262143,221226,--,0.606,0.543,-0.561,0.0,0,0.0,1
261895,221230,--,0.604,0.542,-0.562,0.0,0,0.0,1
261897,221228,--,0.604,0.542,-0.562,0.0,0,0.0,1
261905,221247,--,0.604,0.542,-0.562,0.0,0,0.0,1
261940,221235,--,0.604,0.542,-0.562,0.0,0,0.0,1
262143,221253,--,0.603,0.542,-0.560,0.0,0,0.0,1
262143,221246,--,0.603,0.542,-0.561,0.0,0,0.0,1
262143,221255,--,0.603,0.541,-0.562,0.0,0,0.0,1
262143,221261,--,0.604,0.540,-0.563,0.0,0,0.0,1
262143,221271,--,0.604,0.541,-0.562,0.0,0,0.0,1
262143,221250,--,0.605,0.542,-0.560,0.0,0,0.0,1
262143,221251,--,0.606,0.543,-0.558,0.0,0,0.0,1
262143,221265,--,0.606,0.543,-0.558,0.0,0,0.0,1
262143,221252,--,0.606,0.543,-0.558,0.0,0,0.0,1
262143,221266,--,0.606,0.542,-0.558,0.0,0,0.0,1
262143,221260,--,0.606,0.542,-0.558,0.0,0,0.0,1
262143,221272,--,0.606,0.542,-0.558,0.0,0,0.0,1
262143,221271,--,0.606,0.542,-0.558,0.0,0,0.0,1
262143,221281,--,0.608,0.542,-0.559,0.0,0,0.0,1
262143,221265,--,0.608,0.542,-0.559,0.0,0,0.0,1
262143,221274,--,0.608,0.542,-0.559,0.0,0,0.0,1
262143,221286,--,0.608,0.542,-0.559,0.0,0,0.0,1
229376,221277,--,0.608,0.540,-0.562,0.0,0,0.0,1
180224,221289,--,0.606,0.539,-0.563,0.0,0,0.0,1
165025,221290,--,0.604,0.540,-0.562,0.0,0,0.0,1
165033,221302,--,0.602,0.541,-0.563,0.0,0,0.0,1
165039,221299,--,0.602,0.542,-0.564,0.0,0,0.0,1
165051,221295,--,0.604,0.542,-0.563,0.0,0,0.0,1
165042,221291,--,0.604,0.542,-0.563,0.0,0,0.0,1
165043,221294,--,0.604,0.542,-0.563,0.0,0,0.0,1
165011,221273,--,0.604,0.541,-0.565,0.0,0,0.0,1
164984,221236,--,0.604,0.541,-0.565,0.0,0,0.0,1
164945,221229,--,0.604,0.541,-0.565,0.0,0,0.0,1
164915,221203,--,0.604,0.541,-0.565,0.0,0,0.0,1
164898,221188,--,0.604,0.538,-0.568,0.0,0,0.0,1
164862,221181,--,0.604,0.538,-0.568,0.0,0,0.0,1
164856,221171,--,0.604,0.538,-0.568,0.0,0,0.0,1
164836,221159,--,0.604,0.538,-0.568,0.0,0,0.0,1
164837,221160,--,0.603,0.538,-0.569,0.0,0,0.0,1
164833,221151,--,0.603,0.540,-0.567,0.0,0,0.0,1
164845,221160,--,0.606,0.543,-0.563,0.0,0,0.0,1
164864,221167,--,0.606,0.542,-0.562,0.0,0,0.0,1
164870,221172,--,0.604,0.539,-0.565,0.0,0,0.0,1
164870,221175,--,0.603,0.538,-0.567,0.0,0,0.0,1
164877,221177,--,0.603,0.538,-0.567,0.0,0,0.0,1
164893,221179,--,0.603,0.538,-0.568,0.0,0,0.0,1
164882,221173,--,0.603,0.538,-0.568,0.0,0,0.0,1
164882,221171,--,0.603,0.538,-0.568,0.0,0,0.0,1
164880,221165,--,0.603,0.538,-0.568,0.0,0,0.0,1
164891,221164,--,0.603,0.539,-0.567,0.0,0,0.0,1
164897,221177,--,0.603,0.539,-0.567,0.0,0,0.0,1
164900,221186,--,0.603,0.539,-0.567,0.0,0,0.0,1
164918,221188,--,0.603,0.539,-0.567,0.0,0,0.0,1
164923,221187,--,0.604,0.539,-0.565,0.0,0,0.0,1
164937,221202,--,0.604,0.539,-0.565,0.0,0,0.0,1
164954,221197,--,0.604,0.539,-0.565,0.0,0,0.0,1
164973,221201,--,0.605,0.539,-0.564,0.0,0,0.0,1
164973,221207,--,0.605,0.540,-0.564,0.0,0,0.0,1
164985,221194,--,0.604,0.541,-0.563,0.0,0,0.0,1
164989,221198,--,0.603,0.541,-0.564,0.0,0,0.0,1
164983,221194,--,0.603,0.539,-0.567,0.0,0,0.0,1
164977,221177,--,0.602,0.538,-0.569,0.0,0,0.0,1
164981,221170,--,0.602,0.538,-0.569,0.0,0,0.0,1
164965,221172,--,0.603,0.538,-0.569,0.0,0,0.0,1
164973,221162,--,0.603,0.538,-0.569,0.0,0,0.0,1
164963,221153,--,0.603,0.538,-0.569,0.0,0,0.0,1
164962,221149,--,0.603,0.538,-0.569,0.0,0,0.0,1
164963,221145,--,0.603,0.538,-0.569,0.0,0,0.0,1
164978,221153,--,0.604,0.539,-0.567,0.0,0,0.0,1
164983,221162,--,0.604,0.539,-0.567,0.0,0,0.0,1
164992,221159,--,0.604,0.539,-0.567,0.0,0,0.0,1
165004,221159,--,0.604,0.540,-0.566,0.0,0,0.0,1
165005,221174,--,0.604,0.540,-0.566,0.0,0,0.0,1
165014,221167,--,0.603,0.540,-0.566,0.0,0,0.0,1
165034,221174,--,0.603,0.539,-0.566,0.0,0,0.0,1
165038,221175,--,0.604,0.539,-0.566,0.0,0,0.0,1
165045,221176,--,0.604,0.539,-0.566,0.0,0,0.0,1
165053,221176,--,0.605,0.539,-0.567,0.0,0,0.0,1
165054,221184,--,0.604,0.538,-0.566,0.0,0,0.0,1
165071,221196,--,0.604,0.538,-0.566,0.0,0,0.0,1
165073,221185,--,0.604,0.538,-0.566,0.0,0,0.0,1
